STOK KODU;BUFFER;DEPO;PASİF
00451-200;Kalacak;;
00452-200;Kalacak;;
00501-200;Kalacak;;
00502-200;;;
00503-200;;;
00504-200;;;
00505-200;;;
00506-200;;;
00507-200;Kalacak;;
00508-200;Kalacak;;
00509-200;;2;
00510-200;;;
00511-200;;;5
00514-200;;;5
00524-200;;2;
00525-200;;;
00526-100;;;5
00527-100;Kalacak;;
00529-100;;2;
00530-200;;2;
00531-200;;2;
00532-100;;2;
01200-100;Kalacak;;
00534-200;Kalacak;;
00537-200;Kalacak;;
00538-200;Kalacak;;
00539-200;;2;
00548-200;Kalacak;;
00627-100;;;5
00644-200;Kalacak;;
00645-200;Kalacak;;
00648-100;Kalacak;;
00759-200;Kalacak;;
00773-100;Kalacak;;
00779-200;Kalacak;;
00783-200;Kalacak;;
00798-100;Kalacak;;
00925-100;Kalacak;;
00535-200;Kalacak;;
00549-200;Kalacak;;
00792-100;Kalacak;;
00793-100;Kalacak;;
00794-200;Kalacak;;
00795-100;Kalacak;;
00796-100;Kalacak;;
00797-100;Kalacak;;
00460-200;Kalacak;;
00461-100;Kalacak;;
00767-200;Kalacak;;
40022-200;;2;
40028-200;Kalacak;;
40034-200;Kalacak;;
40040-200;Kalacak;;
40050-200;Kalacak;;
40051-200;Kalacak;;
40057-200;Kalacak;;
40065-200;Kalacak;;
40072-200;Kalacak;;
40076-200;Kalacak;;
40079-200;Kalacak;;
40081-200;Kalacak;;
40084-200;Kalacak;;
40087-200;;2;
40115-200;Kalacak;;
40120-200;Kalacak;;
40121-200;;2;
40122-200;Kalacak;;
40123-200;Kalacak;;
40124-200;Kalacak;;
40125-200;Kalacak;;
40127-200;Kalacak;;
40130-200;Kalacak;;
40137-200;Kalacak;;
40138-200;Kalacak;;
40322-200;Kalacak;;
40323-200;Kalacak;;
40324-200;Kalacak;;
40325-200;Kalacak;;
40329-200;Kalacak;;
70800-200;;;
70801-100;;;
70802-100;;2;
70803-100;;;5
70805-100;;2;
70806-100;;;5
70807-100;;;
70808-100;;;
70809-100;;;
70810-100;;;
70811-100;;;
70812-200;;;5
70813-100;;;
70814-100;;;5
70815-100;;2;
85000-200;;;
30141-100;;;
34293-200;;;5
34417-100;;;5
01600-100;Kalacak;;
30600-100;;;
30601-100;;;
30602-100;;;
33500-100;;;5
33501-100;;;5
33502-100;;;5
20271-200;;;
20273-200;Kalacak;;
34516-100;;;5
34517-100;;;5
20303-200;;;
20304-200;Kalacak;;
20305-200;;;
20307-200;Kalacak;;
20308-200;;;5
20309-200;Kalacak;;
20310-200;;;5
20311-200;Kalacak;;
34518-100;;;5
20314-200;Kalacak;;
20315-200;Kalacak;;
20316-200;;;5
20317-200;;;5
20351-200;;;
20354-200;;;5
20356-200;;2;
20270-200;;;
00418-200;Kalacak;;
00419-200;Kalacak;;
00528-200;Kalacak;;
00839-100;Kalacak;;
01050-100;;2;
32348-100;;;
32357-100;;;5
32425-100;;;5
32427-100;;;
32448-200;;;
32457-100;;;
32459-100;;;5
32666-200;;;5
32758-100;;;5
32770-100;;2;
32771-100;;2;
32772-100;;2;
32773-100;;2;
32774-100;;2;
32775-100;;;5
32776-100;;;5
32777-100;;;5
32778-100;;;5
32779-100;;;5
32780-100;;2;
32781-100;;2;
32782-100;;;5
32783-100;;;5
32784-100;;2;
32785-100;;2;
32786-100;;;5
32787-100;;;5
32788-100;;;
32789-100;;;5
32790-100;;;5
32791-100;;;5
32792-100;;;5
32793-100;;;5
32794-100;;;5
32795-100;;;5
32796-100;;;5
32797-100;;;5
32798-100;;;5
32799-100;;;5
32800-100;;2;
32801-100;;;5
32802-100;;;5
32803-100;;;
32909-200;;2;
32924-200;;;5
32926-200;;2;
32936-200;;;5
33228-100;;;
33273-200;;;
33274-100;;;5
33275-100;;;5
33276-200;;;
33277-200;;;
33278-200;;;
33279-100;;;5
20106-200;;;5
20109-200;;;5
20112-200;;;5
20113-200;;;
20115-200;;2;
20116-200;;2;
20117-200;;;
20118-200;;;
20119-200;;2;
20120-200;;;
20122-200;;;5
20123-200;;;5
20124-200;;2;
20126-200;;;5
20128-200;;2;
20129-200;;;
20130-200;;;
20132-200;;;
20133-200;;;5
20135-200;;2;
20137-200;;2;
20138-200;;2;
20140-200;;2;
20141-200;;2;
20142-200;;2;
20143-200;;2;
20144-200;;2;
20202-200;;;5
20203-200;;2;
20204-200;;2;
20205-200;;;5
20206-200;;2;
20208-200;;2;
20209-200;;;5
20210-200;;2;
20213-200;;;5
20214-200;;2;
20215-200;;;5
20216-200;;2;
20218-200;;2;
20221-200;;2;
20224-200;;2;
20228-200;;2;
20229-200;;;5
20230-200;;2;
20232-200;;2;
20233-200;;2;
20236-200;;2;
20237-200;;;
40250-200;;2;
30001-100;;;
30002-100;;;
30003-100;;;
30004-100;;;
30005-100;;;
30006-100;;;
30007-100;;;
30008-100;;;
30009-100;;;
30010-100;;;
30011-100;;;
30012-100;;;
30013-100;;;
30014-100;;;
30015-100;;;
30016-100;;;
30017-100;;;
30018-100;;;
30019-100;;;
30020-100;;;
30021-100;;;
30022-100;;;
30023-100;;;
30024-100;;;
30025-100;;;
30026-100;;;
30027-100;;;
30028-100;;;
30029-100;;;
30030-100;;;
30031-100;;;
30032-100;;;
30033-100;;;
30034-100;;;
30035-100;;;
30036-100;;;
30037-100;;;
30038-100;;;
30039-100;;;
30040-100;;;
30041-100;;;
30042-100;;;
30043-100;;;
30044-100;;;
30045-100;;;
30046-100;;;
30047-100;;;
30048-100;;;
30049-100;;;
30050-100;;;
30051-100;;;
30052-100;;;
30053-100;;;
30054-100;;;
30055-100;;;
30056-100;;;
30057-100;;;
30058-100;;;
30059-100;Kalacak;;
30060-100;;;
30061-100;;;
30062-100;;;
30063-100;;;
30064-100;;;
30065-100;;;
30066-100;;;
30067-100;;;
30068-100;;;
30069-100;;;
30070-100;;;
30071-100;;;
30072-100;;;
30073-100;;;
30074-100;;;
30075-100;;;
30076-100;;;
30077-100;;;
30078-100;;;
30079-100;;;
30080-100;;;
30081-100;;;
30082-100;;;
30083-100;;;
30084-100;;;
30085-100;;;
30086-100;;;
30087-100;;;
30088-100;;;
30089-100;;;
30090-100;;;
30091-100;;;
30092-100;;;
30093-100;;;
30094-100;;;
30095-100;;;
30096-100;;;
30097-100;;;
30098-100;;;
30099-100;;;
30120-100;;;
30121-100;;;
30122-100;;;
30123-100;;;
30124-100;;;
30125-100;;;
30126-100;;;
30127-100;;;
30129-100;;;
30750-100;;;
30751-100;;;
30752-100;;;
30753-100;;;
30754-100;;;
30755-100;;;
30756-100;;;
30757-100;;;
30758-100;;;
30759-100;;;
30760-100;;;
30761-100;;;
30762-100;;;
30763-100;;;
30764-100;;;
30765-100;;;
30766-100;;;
30767-100;;;
30768-100;;;
30769-100;;;
30770-100;;;
30771-100;;;
30772-100;;;
30773-100;;;
30774-100;;;
30775-100;;;
30776-100;;;
30777-100;;;
30778-100;;;
30779-100;;;
30780-100;;;
30781-100;;;
30782-100;;;
30783-100;;;
30784-100;;;
30785-100;;;
30786-100;;;
30787-100;;;
30788-100;;;
30789-100;;;
30790-100;;;
30791-100;;;
30792-100;;;
30793-100;;;
30794-100;;;
30795-100;;;
30796-100;;;
30797-100;;;
30798-100;;;
30799-100;;;
30800-100;;;
30801-100;;;
30802-100;;;
30803-100;;;
30804-100;;;
30805-100;;;
30806-100;;;
30807-100;;;
30808-100;;;
30809-100;;;
30810-100;;;
30811-100;;;
30812-100;;;
30813-100;;;
30814-100;;;
30815-100;;;
30816-100;;;
30817-100;;;
30818-100;;;
30819-100;;;
30820-100;;;
30821-100;;;
88300-100;;;
88301-100;;;
88305-100;;;
88309-100;;;
88310-100;;;
48054-200;Kalacak;;
48060-200;;2;
48208-200;Kalacak;;
48209-200;Kalacak;;
48210-200;Kalacak;;
48211-200;Kalacak;;
48212-200;Kalacak;;
48213-200;Kalacak;;
48214-200;Kalacak;;
48215-200;Kalacak;;
48253-200;;2;
49500-100;;2;
49501-100;;2;
49502-100;;2;
49503-100;;2;
49504-100;Kalacak;;
49505-100;Kalacak;;
49506-100;Kalacak;;
49507-100;Kalacak;;
49508-100;;2;
49509-100;Kalacak;;
49510-100;;2;
49511-100;;2;
49512-100;;;
49513-100;;;
31031-200;;;5
31034-200;;;5
31036-200;;;5
31101-200;;;5
31102-200;;;5
31103-200;;;5
31104-200;;;5
31106-100;;;5
31106-200;;;5
31250-200;;;5
31252-200;;;5
31253-100;;;5
31253-200;;;
31255-200;;;5
31257-200;;;5
31262-200;;;5
33420-200;;;
33424-200;;;5
33428-200;;;5
33431-200;;;5
33438-200;;;5
33452-100;;;
33453-100;;;
33454-200;;;5
33455-200;;;5
33456-200;;;5
33457-200;;;5
33458-200;;;5
33459-100;;;5
33461-100;;;5
33462-100;;;5
50000-100;;2;
50001-100;;2;
50002-100;;2;
70075-200;Kalacak;;
71500-200;Kalacak;;
71501-200;;2;
71502-200;;2;
71503-200;Kalacak;;
71504-200;;2;
71505-200;;2;
71506-200;;2;
71507-200;Kalacak;;
71508-200;;;5
71509-200;Kalacak;;
71515-200;;2;
71516-200;;2;
71517-200;Kalacak;;
71518-200;Kalacak;;
71519-200;Kalacak;;
71520-200;Kalacak;;
71521-200;Kalacak;;
71522-200;Kalacak;;
71523-200;Kalacak;;
71524-200;Kalacak;;
71525-200;Kalacak;;
71526-200;Kalacak;;
71527-200;Kalacak;;
71528-200;Kalacak;;
71529-100;Kalacak;;
71530-100;Kalacak;;
71532-100;Kalacak;;
71533-100;Kalacak;;
71534-100;Kalacak;;
71535-100;Kalacak;;
71536-100;Kalacak;;
71537-200;Kalacak;;
71538-200;Kalacak;;
71539-200;;2;
70008-200;;;5
70011-200;;;
70012-200;Kalacak;;
70013-200;Kalacak;;
70040-200;Kalacak;;
70042-200;Kalacak;;
70043-200;Kalacak;;
70044-200;Kalacak;;
70062-200;Kalacak;;
70063-200;Kalacak;;
70064-200;Kalacak;;
70065-200;Kalacak;;
70066-200;Kalacak;;
10314-100;;;
10315-100;;;
30650-100;;;5
30651-100;;;5
30652-100;;2;
30653-200;;2;
30654-200;;2;
30655-100;;2;
30656-100;;;5
30657-100;;2;
30658-200;;;5
30659-200;;2;
30660-100;;2;
30661-100;;2;
30662-100;;2;
30663-100;;2;
30664-100;;2;
30665-100;Kalacak;;
30666-100;Kalacak;;
30667-100;;2;
30668-100;;;5
30670-100;;2;
30671-100;;;5
30673-100;;2;
30674-100;;;5
30676-100;;2;
30678-100;;2;
30100-100;;2;
30101-100;Kalacak;;
01201-100;Kalacak;;
34519-100;;;5
30104-100;;2;
30105-100;;2;
30106-100;;;
30107-100;;;
30108-100;;2;
30109-100;;;
30110-100;;;
30111-100;;;
30112-100;;;5
30113-100;;;
30118-100;;2;
30119-100;Kalacak;;
30130-100;Kalacak;;
30131-100;;2;
30132-100;Kalacak;;
30133-100;Kalacak;;
30134-100;Kalacak;;
30135-100;Kalacak;;
30136-100;Kalacak;;
30137-100;;;
30138-100;Kalacak;;
30139-100;Kalacak;;
30140-100;;2;
30142-100;;;
30143-100;;;
30144-100;;2;
30145-100;;2;
30146-100;;;5
30147-100;;2;
30148-100;;;5
30149-100;;;
30400-100;;;
30401-100;;;
30402-100;;;
30403-100;;;
30404-100;;;
30405-100;;;
30406-100;;;
30408-100;;2;
30409-100;;;
30410-100;;;
30411-100;;;
30412-100;;;
30413-100;;;
30414-100;;;
30415-100;;;
30416-100;;2;
30417-100;Kalacak;;
30418-100;Kalacak;;
30419-100;Kalacak;;
30420-100;;;
30421-100;;;
30422-100;Kalacak;;
30423-100;;2;
30424-100;Kalacak;;
30425-100;;2;
30426-100;;2;
30427-100;;2;
30428-100;Kalacak;;
30429-100;;;
30430-100;;;
30431-100;;;
30432-100;;;
30433-100;;;
30434-100;;;
30435-100;;;
30436-100;;;
30437-100;;;
30438-100;;;
30439-100;;;
30440-100;;;
30441-100;;;
30442-100;;;
30443-100;;;
30444-100;Kalacak;;
30445-100;;;
30446-100;;;
30447-100;;2;
30448-100;;;5
30449-100;;;
30450-100;;;
30451-100;;;
30452-100;;;
30453-100;Kalacak;;
30454-100;Kalacak;;
30455-100;Kalacak;;
30456-100;;2;
30457-100;;;
30458-100;;;5
30461-100;;;
30462-100;;;
30463-100;;;
30464-100;;;
30465-100;;;5
30466-100;;2;
30467-100;;;
30468-100;;2;
30469-100;;;
30470-100;;2;
30471-100;;2;
30472-100;Kalacak;;
30473-100;;2;
30474-100;;;
30475-100;;;
30476-100;;;
30477-100;Kalacak;;
30478-100;Kalacak;;
30479-100;Kalacak;;
30480-100;Kalacak;;
30481-100;Kalacak;;
30482-100;Kalacak;;
00550-100;;;5
00551-100;;;5
00552-100;;;5
00553-100;;;5
00554-100;;;
00555-100;;;
00556-100;;;
00557-100;;;
00559-100;;;5
00560-100;;;5
00561-100;;;5
00562-100;;;
00563-100;;;
00564-100;;;5
00565-100;;;5
00703-200;;;
00567-100;;;
00568-100;;;5
34520-100;;;5
00570-100;;;5
00571-100;;;
00572-100;;;5
00573-100;;;5
20407-200;;;
00575-200;;;5
00576-100;;;5
00577-200;;;5
00578-200;;;
00579-200;;;
00580-200;;;
00581-100;;;
00582-100;;;
00583-100;;;5
00584-100;Kalacak;;
00585-100;;;5
00586-200;;;
00587-100;;;
00588-100;;;
00589-100;;;
00590-100;;;
00591-200;Kalacak;;
00592-100;;;
00593-100;;;
00594-100;;;
00595-100;;;
00596-100;;;
00597-100;;;
00598-100;;;
00599-100;;;
00600-100;;;
00601-100;;;
00602-100;;;
00603-100;;;
00605-200;;;
34561-100;;;5
00606-200;;;
34562-100;;;5
00612-200;;;5
00609-100;;;
00610-100;;;
00611-200;;;5
00702-200;;;5
34563-100;;;5
01202-100;;;5
00615-100;Kalacak;;
00616-100;;;5
00618-100;;2;
00620-100;;;5
00621-100;;;5
00622-100;;2;
00623-100;;2;
00635-100;;;5
20408-200;;;5
00704-200;;;5
20404-200;;;
01048-100;Kalacak;;
01048-200;;2;
20406-200;;;
20405-200;;;
20401-200;;;
20402-200;;;
00574-200;;;
20400-200;;;5
00566-200;;2;
00608-100;;2;
30154-100;Kalacak;;
30158-100;;2;
30159-100;;2;
30268-100;;;
78990-200;Kalacak;;
78991-200;Kalacak;;
01005-100;;2;
01500-100;Kalacak;;
01501-100;Kalacak;;
01502-100;Kalacak;;
57008-100;Kalacak;;
71000-100;;;5
71001-100;;;5
34564-100;;;5
52001-100;;2;
52002-100;;2;
00667-100;Kalacak;;
00673-200;;;5
00687-200;Kalacak;;
00692-100;Kalacak;;
00736-200;Kalacak;;
00739-100;Kalacak;;
00742-100;Kalacak;;
00743-200;Kalacak;;
00744-100;Kalacak;;
00745-100;Kalacak;;
00774-100;Kalacak;;
10402-200;;;5
20907-200;;;
20908-200;;2;
20910-200;;2;
51000-200;;;5
51001-200;;;5
51002-100;;;5
51003-200;;;5
44000-100;Kalacak;;
44001-100;;2;
44002-200;Kalacak;;
44003-200;;2;
44004-100;Kalacak;;
44005-200;Kalacak;;
44006-200;Kalacak;;
44007-200;Kalacak;;
44008-200;Kalacak;;
44009-200;Kalacak;;
44011-200;Kalacak;;
44012-200;Kalacak;;
44013-200;Kalacak;;
44014-100;Kalacak;;
44015-200;Kalacak;;
44016-100;Kalacak;;
44017-100;Kalacak;;
00440-200;;;5
00029-200;;2;
00030-200;;2;
38311-200;;;5
38331-100;;;5
38350-200;;;5
38354-200;;;5
43029-200;;;5
43030-200;;;5
43031-200;;;5
43001-100;Kalacak;;
43002-100;;;5
43002-200;Kalacak;;
43003-100;Kalacak;;
43004-100;Kalacak;;
43005-100;Kalacak;;
43006-100;Kalacak;;
43007-100;Kalacak;;
43008-100;Kalacak;;
43009-100;Kalacak;;
43010-200;Kalacak;;
43011-200;Kalacak;;
43012-200;Kalacak;;
43013-200;Kalacak;;
43014-200;Kalacak;;
43015-200;Kalacak;;
43016-200;Kalacak;;
43017-200;Kalacak;;
43018-100;Kalacak;;
43019-200;Kalacak;;
43021-200;Kalacak;;
43022-200;Kalacak;;
43023-200;;2;
43024-200;Kalacak;;
43025-200;Kalacak;;
43026-200;Kalacak;;
43027-200;Kalacak;;
43028-200;Kalacak;;
43032-200;;2;
43033-200;;2;
43034-200;;2;
43035-200;Kalacak;;
43036-200;;2;
43037-200;Kalacak;;
43038-200;Kalacak;;
43039-200;Kalacak;;
43040-200;;2;
43042-200;;2;
43043-200;Kalacak;;
43045-200;Kalacak;;
43046-200;Kalacak;;
43047-200;;2;
43048-200;Kalacak;;
43049-200;;2;
43050-100;Kalacak;;
43051-100;Kalacak;;
48500-100;;;5
34571-100;;;5
34572-100;;;5
48503-100;;;5
48504-100;;;5
48505-200;;;5
41500-200;;;5
41501-200;;;5
41502-100;;;5
41503-100;;;5
41504-100;;;5
41505-100;;;5
41506-200;;;5
41507-200;;;5
41508-200;;;5
41510-100;;;5
41512-200;;;5
41514-100;;;5
41515-100;;;5
41516-100;;2;
41517-100;;2;
41518-100;;;5
41519-100;;;5
41520-100;;;5
41529-200;;;5
41530-200;;;5
41531-200;;;5
41532-200;;;5
41533-200;;;5
34594-100;;;5
E-41500-200;;;
E-41501-200;;;5
E-41502-100;;;5
E-41503-100;;;5
E-41504-100;;;5
E-41505-100;;;5
E-41523-200;;;5
E-41524-200;;;5
E-41525-200;;;5
E-41526-100;;;5
E-41527-100;;;
E-41528-100;;;5
E-41534-200;;;5
E-41535-200;;;5
E-41536-200;;;5
E-41537-200;;;5
E-41538-200;;;5
E-41539-200;;;5
E-41540-200;;;5
E-41541-200;;;5
E-41542-200;;;5
Y-41509-200;;;
Y-41511-200;;;5
Y-41513-100;;;5
Y-41519-100;;;5
Y-41521-100;;;5
Y-41522-100;;2;
20500-100;Kalacak;;
20502-100;Kalacak;;
53000-100;Kalacak;;
53001-100;Kalacak;;
53002-100;Kalacak;;
53003-100;Kalacak;;
62004-200;Kalacak;;
62005-200;Kalacak;;
69001-200;Kalacak;;
69002-200;Kalacak;;
69003-200;Kalacak;;
69006-200;Kalacak;;
69007-200;Kalacak;;
69008-200;Kalacak;;
69014-200;Kalacak;;
69015-200;Kalacak;;
69016-200;Kalacak;;
69017-200;Kalacak;;
69018-100;;;5
70007-200;;;5
38365-200;;;5
70018-200;Kalacak;;
70019-200;Kalacak;;
70020-200;Kalacak;;
70021-200;Kalacak;;
70024-200;Kalacak;;
70025-200;Kalacak;;
70026-200;Kalacak;;
70027-200;Kalacak;;
70029-200;Kalacak;;
70030-200;Kalacak;;
70031-200;Kalacak;;
70032-200;Kalacak;;
70033-200;Kalacak;;
70034-200;Kalacak;;
70035-200;Kalacak;;
70036-200;Kalacak;;
70037-200;Kalacak;;
70039-200;;2;
70041-200;Kalacak;;
70048-200;Kalacak;;
70049-200;Kalacak;;
70060-200;Kalacak;;
70061-200;Kalacak;;
70067-200;Kalacak;;
70070-200;Kalacak;;
70072-200;;;5
70073-200;Kalacak;;
70074-200;Kalacak;;
70078-200;Kalacak;;
70079-200;Kalacak;;
70080-100;Kalacak;;
70081-200;Kalacak;;
70082-200;Kalacak;;
70083-200;Kalacak;;
70084-200;Kalacak;;
71510-200;Kalacak;;
71511-200;Kalacak;;
71512-200;Kalacak;;
71513-200;Kalacak;;
71514-200;Kalacak;;
71540-200;Kalacak;;
71541-200;Kalacak;;
71542-200;Kalacak;;
00850-200;;;
00851-200;;;
00852-200;;;
00853-100;;;5
00854-100;;;5
00855-100;;;5
00856-200;;;
00857-200;;;5
00858-200;;;5
00859-100;Kalacak;;
00860-100;;2;
00861-200;Kalacak;;
00862-100;Kalacak;;
00863-100;;;5
00864-100;Kalacak;;
00865-100;;;5
00866-100;;;5
00867-200;;;5
00868-100;Kalacak;;
00869-100;Kalacak;;
00870-100;Kalacak;;
00871-100;;;5
00872-100;Kalacak;;
00873-200;Kalacak;;
00874-100;;;5
00875-100;;;5
00876-100;Kalacak;;
00877-100;Kalacak;;
00878-100;Kalacak;;
00879-200;Kalacak;;
00880-100;;2;
00881-100;;2;
00882-100;Kalacak;;
00882-200;Kalacak;;
00883-200;Kalacak;;
00884-200;Kalacak;;
00885-100;Kalacak;;
00886-100;Kalacak;;
00888-100;Kalacak;;
00889-100;Kalacak;;
00890-100;;2;
00891-100;Kalacak;;
00892-100;Kalacak;;
00894-100;Kalacak;;
00895-100;Kalacak;;
00896-100;Kalacak;;
00897-100;Kalacak;;
00898-100;Kalacak;;
00899-100;Kalacak;;
00919-100;;;
00921-100;Kalacak;;
00680-200;;;5
00681-200;;;5
00682-200;;;5
00683-200;;;5
00684-200;;;5
00685-200;;;5
00686-200;;;5
70900-100;;;5
70901-100;;;5
70902-100;;;5
70903-100;;;5
70904-200;;;5
70905-200;;;
70906-200;;;
00695-100;Kalacak;;
38374-200;;;5
00713-200;Kalacak;;
00714-200;Kalacak;;
00715-200;Kalacak;;
00937-100;Kalacak;;
00938-100;Kalacak;;
00735-100;Kalacak;;
30102-100;;2;
00945-100;Kalacak;;
34442-100;;2;
00935-100;Kalacak;;
00649-100;Kalacak;;
00936-100;Kalacak;;
00939-100;Kalacak;;
40527-200;Kalacak;;
40761-200;;2;
00788-200;Kalacak;;
00787-200;Kalacak;;
00662-200;Kalacak;;
00676-100;Kalacak;;
00677-100;Kalacak;;
00656-200;Kalacak;;
00652-100;Kalacak;;
00650-200;;;
00651-200;;;
00653-100;Kalacak;;
00709-100;Kalacak;;
00688-100;Kalacak;;
00699-200;Kalacak;;
00706-100;;2;
00707-100;;;5
00758-200;Kalacak;;
00689-100;Kalacak;;
00730-200;;2;
00734-100;;2;
00782-100;Kalacak;;
00668-100;Kalacak;;
00719-100;;;5
00708-200;;;5
00694-200;Kalacak;;
00691-200;;;5
00717-100;Kalacak;;
00665-200;Kalacak;;
00710-200;Kalacak;;
00716-100;;;5
00727-200;Kalacak;;
00757-200;Kalacak;;
00726-100;Kalacak;;
00725-200;Kalacak;;
00664-200;Kalacak;;
00733-200;Kalacak;;
00731-200;Kalacak;;
00756-200;Kalacak;;
00712-100;Kalacak;;
00760-200;;;
00763-200;;2;
00764-200;;2;
00777-100;Kalacak;;
00771-200;Kalacak;;
00671-100;Kalacak;;
00784-100;Kalacak;;
00785-100;;2;
00755-200;Kalacak;;
00930-200;Kalacak;;
00931-100;Kalacak;;
00789-100;Kalacak;;
00790-200;Kalacak;;
00663-200;Kalacak;;
00780-200;Kalacak;;
00781-200;Kalacak;;
00786-100;Kalacak;;
00670-100;Kalacak;;
00768-100;Kalacak;;
00697-200;Kalacak;;
00669-100;Kalacak;;
00666-200;Kalacak;;
00679-200;;;5
00741-100;Kalacak;;
00747-200;Kalacak;;
00944-100;Kalacak;;
00943-100;Kalacak;;
00659-100;;;5
34443-100;Kalacak;;
34444-100;Kalacak;;
36059-200;Kalacak;;
01203-100;;2;
01204-100;;2;
01205-100;;2;
01206-100;;;5
01207-100;;;
01208-100;;;
01209-100;;;5
01210-100;;2;
01211-100;;2;
01212-100;;2;
01213-100;;;5
01214-100;Kalacak;;
01215-100;;2;
01216-100;;2;
40765-200;;2;
01218-100;;2;
01219-100;;2;
01220-100;;;
01221-100;Kalacak;;
01222-100;;;
01223-100;;;5
01224-100;;2;
01225-100;;2;
01226-100;Kalacak;;
01228-100;Kalacak;;
01229-100;Kalacak;;
01234-100;;2;
01236-100;;;
01237-100;;;
01238-100;;;
01239-100;;;
01240-100;;;
01241-100;;;
01242-100;;;
01244-100;;2;
01245-100;Kalacak;;
01246-100;Kalacak;;
01247-100;Kalacak;;
01248-100;Kalacak;;
01249-100;Kalacak;;
01250-100;Kalacak;;
01251-100;Kalacak;;
01252-100;;2;
01253-100;;2;
01254-100;Kalacak;;
01256-100;;;
01257-100;;2;
01258-100;Kalacak;;
01259-100;;2;
01260-100;Kalacak;;
01261-100;Kalacak;;
01262-100;Kalacak;;
01263-100;;2;
01264-100;Kalacak;;
01265-100;Kalacak;;
01266-100;Kalacak;;
01267-100;Kalacak;;
01268-100;Kalacak;;
01269-200;;2;
01270-100;Kalacak;;
01271-100;Kalacak;;
01272-100;Kalacak;;
01273-100;Kalacak;;
01274-100;Kalacak;;
01275-100;Kalacak;;
01276-100;Kalacak;;
01277-100;Kalacak;;
01278-100;Kalacak;;
01279-100;Kalacak;;
01280-100;Kalacak;;
01281-100;Kalacak;;
01282-100;Kalacak;;
01700-100;;;
01701-100;;;
01702-100;;;
01703-100;;;
01704-100;;;
01705-100;;;
01706-100;;;
01707-100;;;
01708-100;;;
01709-100;;;
01710-100;;;
01711-100;;;
01712-100;;;
01713-100;;;
01714-100;;;
70052-100;;;5
70057-100;;;5
70058-200;;;
70050-100;;;
70050-200;;;
70051-100;;;
70053-200;;;
70054-100;;;
70055-200;;;
70056-200;;;
70059-200;;;
00900-100;;;5
00901-100;;;5
00902-200;;;5
00903-100;;;5
00904-100;;;5
00905-100;;;5
00906-100;;;5
00907-100;;;5
00908-100;;;
00909-100;;;5
00910-100;;;5
00911-100;;;5
00912-200;;;5
00913-200;;;5
00914-100;;;5
00915-100;;;5
00916-100;;;5
00917-100;;;5
00918-100;;;5
40002-200;;2;
40005-200;;2;
40007-200;Kalacak;;
40008-200;;2;
40032-200;;2;
40052-200;;2;
40055-200;;2;
40056-200;;2;
40068-200;Kalacak;;
40077-200;Kalacak;;
40078-200;Kalacak;;
40080-200;Kalacak;;
40082-200;Kalacak;;
40083-200;Kalacak;;
40095-200;Kalacak;;
40131-200;Kalacak;;
40132-200;;2;
40133-200;;2;
40139-200;Kalacak;;
40141-200;Kalacak;;
40320-200;;2;
40333-200;Kalacak;;
40334-200;Kalacak;;
40335-200;Kalacak;;
40337-200;Kalacak;;
40338-200;Kalacak;;
00791-200;Kalacak;;
56060-100;Kalacak;;
56022-100;Kalacak;;
56006-100;;2;
56046-100;Kalacak;;
56012-100;Kalacak;;
56013-100;Kalacak;;
56016-100;Kalacak;;
56017-100;Kalacak;;
56019-100;Kalacak;;
56021-100;Kalacak;;
56020-100;Kalacak;;
56011-100;Kalacak;;
56010-100;Kalacak;;
56007-100;Kalacak;;
56023-100;Kalacak;;
56001-100;Kalacak;;
56002-100;;2;
56003-100;;2;
56005-100;Kalacak;;
56004-100;Kalacak;;
56014-100;Kalacak;;
56008-100;Kalacak;;
56009-100;Kalacak;;
56038-100;Kalacak;;
56039-100;Kalacak;;
56041-100;Kalacak;;
56040-100;Kalacak;;
56026-100;Kalacak;;
56045-100;;2;
56047-100;Kalacak;;
56050-100;Kalacak;;
56049-100;Kalacak;;
56048-100;Kalacak;;
56018-100;Kalacak;;
56000-100;Kalacak;;
56044-100;Kalacak;;
56042-100;Kalacak;;
56037-100;Kalacak;;
56043-100;Kalacak;;
56061-100;Kalacak;;
56062-100;Kalacak;;
56064-100;Kalacak;;
56063-100;Kalacak;;
56034-100;Kalacak;;
56035-200;;2;
56028-100;Kalacak;;
56029-100;;2;
56027-100;Kalacak;;
56025-100;Kalacak;;
56024-100;Kalacak;;
56031-200;;2;
56032-200;;2;
56057-100;Kalacak;;
56066-100;Kalacak;;
56051-100;Kalacak;;
56052-100;Kalacak;;
56068-100;Kalacak;;
56053-100;Kalacak;;
56054-100;Kalacak;;
56058-100;Kalacak;;
56059-100;Kalacak;;
56055-100;Kalacak;;
56056-100;Kalacak;;
56067-100;Kalacak;;
56065-100;Kalacak;;
56036-100;Kalacak;;
56030-200;;2;
56015-100;Kalacak;;
56033-200;;2;
48003-100;;2;
48004-100;;2;
48017-200;;;5
48021-200;;;5
48022-200;;;5
48025-200;;;
48026-200;Kalacak;;
48029-200;;2;
48034-200;;;5
48038-200;;;5
48039-200;;;5
48040-200;Kalacak;;
48041-100;;;5
48041-200;;;5
48042-200;;;5
48043-200;;;5
48044-200;Kalacak;;
48046-100;;;5
48046-200;;;5
48047-200;;;5
48049-200;;;5
48051-200;;;5
